Title,Category,Brand,Price_USD,Discount_Percent,Rating,Stock
Citrus Squeezer Yellow,kitchen-accessories,Unknown,8.99,12.1,4.63,22
Egg Slicer,kitchen-accessories,Unknown,6.99,14.76,3.09,40
Electric Stove,kitchen-accessories,Unknown,49.99,14.04,4.11,21
Fine Mesh Strainer,kitchen-accessories,Unknown,9.99,3.5,3.04,85
Fork,kitchen-accessories,Unknown,3.99,8.07,3.11,7
Glass,kitchen-accessories,Unknown,4.99,7.92,4.02,46
Grater Black,kitchen-accessories,Unknown,10.99,3.56,3.21,84
Hand Blender,kitchen-accessories,Unknown,34.99,17.02,3.86,84
Ice Cube Tray,kitchen-accessories,Unknown,5.99,0.63,4.71,13
Kitchen Sieve,kitchen-accessories,Unknown,7.99,18.91,3.09,68
Knife,kitchen-accessories,Unknown,14.99,18.86,3.26,7
Lunch Box,kitchen-accessories,Unknown,12.99,10.34,4.93,94
Microwave Oven,kitchen-accessories,Unknown,89.99,12.13,4.82,59
Mug Tree Stand,kitchen-accessories,Unknown,15.99,9.25,2.64,88
Pan,kitchen-accessories,Unknown,24.99,3.0,2.79,90
Plate,kitchen-accessories,Unknown,3.99,7.31,3.65,66
Red Tongs,kitchen-accessories,Unknown,6.99,14.52,4.42,82
Silver Pot With Glass Cap,kitchen-accessories,Unknown,39.99,5.7,3.22,40
Slotted Turner,kitchen-accessories,Unknown,8.99,13.35,3.4,88
Spice Rack,kitchen-accessories,Unknown,19.99,12.09,4.87,79
Spoon,kitchen-accessories,Unknown,4.99,1.53,4.03,59
Tray,kitchen-accessories,Unknown,16.99,7.48,4.62,71
Wooden Rolling Pin,kitchen-accessories,Unknown,11.99,9.75,2.92,80
Yellow Peeler,kitchen-accessories,Unknown,5.99,12.48,4.24,35
Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,4.69,3.65,24
Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,11.14,3.95,45
Huawei Matebook X Pro,laptops,Huawei,1399.99,9.38,4.98,75
Lenovo Yoga 920,laptops,Lenovo,1099.99,6.55,2.86,40
New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,11.89,2.67,74
Blue & Black Check Shirt,mens-shirts,Fashion Trends,29.99,15.35,3.64,38
Gigabyte Aorus Men Tshirt,mens-shirts,Gigabyte,24.99,0.94,3.18,90
Man Plaid Shirt,mens-shirts,Classic Wear,34.99,19.5,3.46,82
Man Short Sleeve Shirt,mens-shirts,Casual Comfort,19.99,6.83,2.9,2
Men Check Shirt,mens-shirts,Urban Chic,27.99,11.38,2.72,95
Nike Air Jordan 1 Red And Black,mens-shoes,Nike,149.99,4.12,4.77,7
Nike Baseball Cleats,mens-shoes,Nike,79.99,18.04,3.88,12
Puma Future Rider Trainers,mens-shoes,Puma,89.99,4.2,4.9,90
Sports Sneakers Off White & Red,mens-shoes,Off White,119.99,4.97,4.77,17
Sports Sneakers Off White Red,mens-shoes,Off White,109.99,0.04,4.69,62
Brown Leather Belt Watch,mens-watches,Fashion Timepieces,89.99,5.99,4.19,32
Longines Master Collection,mens-watches,Longines,1499.99,17.24,3.87,100
Rolex Cellini Date Black Dial,mens-watches,Rolex,8999.99,8.88,4.97,40
Rolex Cellini Moonphase,mens-watches,Rolex,12999.99,17.52,2.58,36
Rolex Datejust,mens-watches,Rolex,10999.99,3.73,3.66,86
Rolex Submariner Watch,mens-watches,Rolex,13999.99,5.05,2.69,55
Amazon Echo Plus,mobile-accessories,Amazon,99.99,12.07,4.99,61
Apple Airpods,mobile-accessories,Apple,129.99,15.54,4.15,67
